Geo Point,Geo Shape,road_segment,location,latitude,asset_id,history,owner_type,description,object_type,art_date,inscription,longitude,company,service_manager,makers,property,classification,title
"-37.82433720574863, 144.94761915571905","{""coordinates"": [144.94761915571905, -37.82433720574863], ""type"": ""Point""}",,"Approximately 9m SE of Noel Robinson Architects, 52 River Esplanade, Docklands, 3008",144.94761915571905,1560967,,Not Owned,"Shimmering energy fields representing life, renewal and journeying - and echoing the patterns on Aboriginal artefacts - appear superimposed on the glass front of the building. Heartland incorporates a rear-illuminated, animated image developed from imprints and earth mouldings taken from the site. A cyclical lighting sequence evokes the ebb and flow of the river as well as the rising and setting of the sun. This luminescent textural surface gradually pulses and shifts in colour, like a heartbeat within the work.",Artwork,2003,,-37.82433720574863,VicUrban,,Karen Casey,,Unknown,HeartLand
"-37.814398382430774, 144.9662509187985","{""coordinates"": [144.9662509187985, -37.814398382430774], ""type"": ""Point""}",,"Cafe L'Incontro approximately 4m East of 134 Swanston Street, Melbourne, 3000",144.9662509187985,1088166,Time and Tide was commissioned by the City of Melbourne through its Percent for Art Program. Unveiled 16 December 1994.,Owned,"Like many of Makigawa's works, this sculpture is monumental in scale. It comprises horizontal and vertical elements, which extend some 20 metres over its Town Hall Plaza site. Fibre optics are embedded in the concrete and the light they emit creates a different mood night and day. The individual elements of Time and Tide loosely represent a tree ' signifying growth, knowledge and the land ' a flame ' signifying rebirth and transcendence ' and a shell ' signifying the ocean.",Sculpture,1994,1842 / TIME AND TIDE / AKIO MAKIGAWA / 1994,-37.814398382430774,City of Melbourne,Arts & Culture Branch,"Makiogawa, Akio",Cafe L'Incontro,Sculpture,Time and Tide
"-37.80314275282813, 144.96987438289304","{""coordinates"": [144.96987438289304, -37.80314275282813], ""type"": ""Point""}",,"Exhibition Building & Melbourne Museum approximately 47m SE of Sacred Heart, 169 Rathdowne Street, Carlton, 3053",144.96987438289304,1545280,,Owned,"Ground-level bluestone-tile fountain with nine jets, nine lights, and three large granite slabs at its edges.<br><br>This ground-level bluestone-tile fountain replaced the original Grollo Fountain when Centennial Hall was superseded by the new Melbourne Museum. Luigi<br>Grollo presented the original fountain on behalf of the family companies in 1980, to celebrate the centennial year of the Royal Exhibition Building. It was a project of mammoth proportions, both structurally and financially, featuring 44 water jets set in concentric rings and using 5500 gallons of recycled water per minute. It's more modest replacement has just nine jets and nine lights, and three large granite slabs at its edges.",Fountain,2001,,-37.80314275282813,,,,Exhibition Building & Melbourne Museum,Sculpture,Grollo Fountain
"-37.813685401940035, 144.9655744954389","{""coordinates"": [144.9655744954389, -37.813685401940035], ""type"": ""Point""}",Intersection of Bourke Street and Swanston Street,"Intersection of Bourke Street and Swanston Street approximately 32m West of Boost Juice, 172 Swanston Street, Melbourne, 3000",144.9655744954389,1088157,,Owned,"This whimsical, life-size bronze sculpture of three businessmen carrying lunchboxes is located in the heart of Melbourne. Artist Alison Weaver claims that while the men are named and motionless, they are also intended to be anonymous and to represent being `trapped in the perpetual motion of consumerism'. Weaver figures these three Melbourne pioneers as `pedestrians of vast time' who have returned to the city streets and says her interpretation of them is driven by humour rather than by iconoclasm.<br><br>Three Businessmen Who Brought Their Own Lunch was commissioned in 1993 as part of the Swanston Street Art Works Program, and was a gift to the City of Melbourne from the Republic of Nauru to celebrate the city's 150th anniversary.",Sculpture,1993,"""Three Businessmen who brought their own lunch: Batman, Swanston and Hoddle"" was unveiled on 20 April 1994 by his Excellency, the President of Nauru Hon. Bernard Dowiyogo M.P.<br><br>A gift celebrating the 150th Anniversary of the City of Melbourne from the people of Nauru",-37.813685401940035,City of Melbourne,Arts & Culture Branch,"Weaver, Alison<br>Quinn, Paul",,Sculpture,"Three Businessmen Who Brought Their Own Lunch: Batman, Swanston & Hoddle"
"-37.818010565097374, 144.94683073925555","{""coordinates"": [144.94683073925555, -37.818010565097374], ""type"": ""Point""}",,"Victoria Point approximately 29m NE of Bendigo And Adelaide Bank, 108 Harbour Esplanade, Docklands, 3008",144.94683073925555,1560993,,Not Owned,"Made from toughened safety glass and LED lighting within a steel frame, Poise is shimmering and crystalline by day and glowing blue by night. According to the artist, ""It would appear that every culture has within its mythology a sacred vessel. These vessels are variously perceived as receptacles of something precious, whether spiritual intent or otherwise. Here, the precarious position of the vessel speaks of the delicate state of balance.""",Sculpture,2005,,-37.818010565097374,VicUrban,,Warren Langley,Victoria Point,Sculpture,Poise
"-37.80699393814314, 144.96305396149538","{""coordinates"": [144.96305396149538, -37.80699393814314], ""type"": ""Point""}",,"City Baths approximately 27m North of Poolhouse Coffee, 6 Franklin Street, Melbourne, 3000",144.96305396149538,1091166,Specifically designed for the Carlton Baths Community Centre,Owned,Mural in the Carlton Baths.,Mural,1995,,-37.80699393814314,City of Melbourne,Arts & Culture Branch,Marie Clark and Sonja Hodge,City Baths,Sculpture,Koorie Mural
"-37.80490093345887, 144.97284986251543","{""coordinates"": [144.97284986251543, -37.80490093345887], ""type"": ""Point""}",,"Exhibition Building & Melbourne Museum approximately 61m West of Royal Exhibition Building, 9 Nicholson Street, Carlton, 3053",144.97284986251543,1086577,,Owned,"The bronze fountain features three youths, each supporting a dolphin, above which rests a cupped scallop shell. <br><br>During Melbourne's International Exhibition of 1880, the French Fountain formed the centrepiece of the exhibition's fernery. It was later transferred to a flowerbed at the eastern entrance to the Royal Exhibition Building. An elegant work, the bronze fountain features three youths, each supporting a dolphin, above which rests a cupped scallop shell. The fountain forms the centrepiece of a round garden bed and its waters flow into the large, concrete pool in which it sits.",Fountain,c1880,,-37.80490093345887,City of Melbourne,Parks Services Branch,Unknown,Exhibition Building & Melbourne Museum,Sculpture,French Fountain
"-37.8249065499163, 144.94742694404235","{""coordinates"": [144.94742694404235, -37.8249065499163], ""type"": ""Point""}",,"Approximately 38m East of Lucas Real Estate (MLJV Pty Ltd), 62 River Esplanade, Docklands, 3008",144.94742694404235,1560992,,Not Owned,"The billboard site at Yarra's Edge, Tower 1 Lorimer Street, exhibits a new photographic image by an Australian artist every 6 to 8 months. The billboard has become a local landmark, featuring some of Australia's best known contemporary artists.",Artwork,Various,,-37.8249065499163,VicUrban,,Various artists,,Illustrations,Photo Art Billboard
"-37.821109293482905, 144.96967311696216","{""coordinates"": [144.96967311696216, -37.821109293482905], ""type"": ""Point""}",,Queen Victoria Gardens,144.96967311696216,1086517,,Owned,"A marble replica bust of Hercules as found in the Vatican Museum, Rome. Dramatically represented with powerful shoulders and head twisted to the right, Farnex Hercules is a classical representation of a powerful hero. The bust sits atop two large granite blocks fixed one on top of the other.  <br>Half god, half-human, Hercules was both the most famous hero of ancient times and the most beloved.  Born out of an illicit affair between Zeus and a beautiful mortal woman, Alcmene, Hercules had to bear tremendous hardship at the hand of Hera, wife of Zeus and Queen of the Gods. His is the story of a man so strong and courageous, whose deeds were so mighty, and who so endured all the hardships that were given to him, that when he died, Hercules was brought up to Mount Olympus to live with the gods.<br><br>Farnex Hercules was donated to the city by well-known solicitor, politician, newspaper proprietor and educationalist Theodore Fink. He acquired the bust and a replica of the Belvedere Apollo as gifts to the people of Melbourne, when visiting Rome; the works were unveiled in 1928. Fink's donation marked the end of a tradition of placing copies of classical statuary in Melbourne's public gardens, a tradition that took root in the 1860s. Most were removed by the 1930s.<br><br>The two busts were unveiled on the 2 October 1928 at the main entry to the Queen Victoria Gardens.  Fink hoped the busts would ''''''''''''''''not only beautify our parks but elevate the taste of people and help them to appreciate fine things, stimulate the national love of beauty, that will express itself in the work of Australian sculptors and artists.'''''''''''''''' This donation marked the end of a tradition of placing copies of classical statuary in Melbourne''''''''''''''''s public gardens.  Since the 1860s the Fitzroy, Flagstaff and Carlton Gardens had been profusely ornamented with casts of sculptures from the National Gallery and elsewhere.  But by Fink''''''''''''''''s time these had gone out of fashion and were allowed to deteriorate.  Most were removed by the 1930s. The position of the busts was slightly altered when Alexandra Avenue was lowered to pass below St Kilda Road.<br>",Sculpture,,"Front: HERCULES, STRENGTH AND SERVICE / REPRODUCTION 18TH CENTURY OF BUST ORIGINALLY IN MUSEUM NAPLES / PRESENTED TO THE PEOPLE OF MELBOURNE / BY MR THEODORE FINK <br>Side: UNVEILED BY THE MAYOR SIR STEPHEN J. MORELL / 2 OCTOBER 1928",-37.821109293482905,City of Melbourne,Arts & Culture Branch,Unknown,Queen Victoria Gardens,Sculpture,Farnex Hercules
"-37.798257825618585, 144.97056462844986","{""coordinates"": [144.97056462844986, -37.798257825618585], ""type"": ""Point""}",,"Macarthur Square approximately 30m North of 71 Macarthur Place South, Carlton, 3053",144.97056462844986,1086585,,Owned,"Shrine like architectural structure summounted by life size bust of William Ievers (Jnr). Architecture structure: bluestone steps, grey Harcourt & red Finland granite. Bust: white marble. Drinking element in base, under canopy.<br><br>Richardson sculpted three memorial fountains dedicated to the Ievers family, who donated them to the community in thanks for its support. William Jnr (1881'95), William Snr (1895'1901), and George Hawkins (1901'21) consecutively represented the Smith Ward for a period of 40 years. George Ievers proposed the fountains in 1913 as part of a beautification scheme coordinated by the Parks & Gardens Committee, of which he was a member. At the unveiling of this second monument, Minister Mutchinson claimed: `the residents of Melbourne should be grateful to the Parks & Gardens Committee for having transformed ugly, vacant spaces into beauty spots and breathing spaces for the city'.<br><br>",Drinking Fountain,1915,"ERECTED BY COUNCILLOR GEORGE HAWKINS IEVERS, J.P. / IN MEMORY OF HIS BROTHER / COUNCILLOR WM. IEVERS JUNR., M.P.,/ CARLTON SOUTH, WHO LIVED IN SMITH WARD, / FROM 1855 TO 1895 / A GOOD SON, BROTHER AND CITIZEN / 1915",-37.798257825618585,City of Melbourne,Parks Services Branch,"Richardson, Charles Douglas",Macarthur Square,Memorials,William Ievers (Jnr) Memorial Drinking Fountain
"-37.80745242967464, 144.95830671628437","{""coordinates"": [144.95830671628437, -37.80745242967464], ""type"": ""Point""}",,"Queen Victoria Market approximately 7m West of Joe Leuzzi Flowers, Kiosk, 90 Therry Street, Melbourne, 3000",144.95830671628437,1088161,,Owned,"In 1991 Mark Stoner was commissioned to undertake a memorial to the former cemetery site and those once buried here. Stoner''''''''s monumental, non-representational sculpture evokes the timelessness and symbolism of an ancient Egyptian pyramid. He has described the work as ''''''''a passage for memories or dreams'''''''', but the site is also a place of passage between worlds. Stonemasons cworked his design by hand, using a material Stoner chose for its link to the founding of Melbourne.<br><br>A bronze plaque alongside a map of the former cemetery reads: ''''''''Passage commemorates the Old Melbourne General Cemetery, which was located on this site between 1837 and 1917. The illustration is based on a 1863 map. In 1878 the market expanded and took up the area between Victoria and Fulton Streets, three quarters of the Jewish allotment and all the Society of Friends and Aboriginal allotments. Between 1920 and 1922, 914 bodies were exhumed and reinterred in other cemeteries around Melbourne. By 1936 the Queen Victoria Market expanded to take up the entire Old Melbourne General Cemetery site.''''''''<br><br>Unveiled 13th May 1994<br><br><br>Unveiled 13th May 1994",Sculpture,1994,"PASSAGE / BY MARK STONER / MANUFACTURED BY / BRIAN JOHNS / & HUNTLY BARTON<br>A bronze plaque, next to a map of the cemetery, with the following inscription: PASSAGE commemorates the Old Melbourne General Cemetery which was located on this site between 1837 and 1917.",-37.80745242967464,City of Melbourne,Arts & Culture Branch,"Stoner, Mark <br>",Queen Victoria Market,Sculpture,Passage
"-37.81353704463541, 144.9656409310818","{""coordinates"": [144.9656409310818, -37.81353704463541], ""type"": ""Point""}",Intersection of Bourke Street and Swanston Street,"Intersection of Bourke Street and Swanston Street approximately 28m SE of Strandbags, Gnd, Bmt & Lvl 1, 179-183 Swanston Street, Melbourne, 3000",144.9656409310818,1086744,<br>,Owned,"Four weathervanes, in the shapes of a horse, pig, fish and bird, positioned above tram poles which rotate with the wind. Hand beaten copper with gold leaf detail.<br><br>Each of the four weathervanes takes the shape of an animal: a horse, pig, fish and bird. They are positioned high on tram poles to give aerial performances with each gust of wind. The vanes have been conceived to represent specific aspects of Melbourne: the bird symbolises the city's parks and gardens; the horse symbolises its culture and sport; the fish refers to its waterways; and the pig represents the city's hope and future ' the latter a tongue-in-cheek reference to `pigs can fly'. Jenkins said of the sculpture, `I wanted each of these weathervanes to be cartoon-like and even frivolous. We take our cities for granted and with the daily pedestrian bustle it is always business as usual. It takes something very unusual to attract someone's eye. I want people to look up and smile!'<br><br>The City of Melbourne commissioned Jenkins to make this work, which took him four months to complete. Lord Mayor Councillor Des Clark unveiled Weathervanes at 11am on Friday 19 March 1993.",Sculpture,1993,,-37.81353704463541,City of Melbourne,Arts & Culture Branch,"Jenkins, Daniel",,Sculpture,Weathervanes
