asset_number,title_of_plaque,description_of_plaque,tree_common_name,tree_scientific_name,date_of_tree_planted,lon,lat,location
1734468,ROYAL AUSTRALIAN NAVY 1939 - 1945,ROYAL AUSTRALIAN NAVY 1939 - 1945,Daimyo Oak,Quercus dentata,1998-04-09,-37.83102768154598,144.9745995026191,"-37.83102768154598, 144.9745995026191"
1734474,AUSTRALIAN SAPPERS,"DEDICATED TO AUSTRALIAN SAPPERS PAST AND PRESENT FOR THEIR COURAGE, SACRIFICE AND DEDICATION TO THEIR SERVICE TO THEIR CORPS AND TO THE NATION",Holm Oak,Quercus ilex,2010-08-30,-37.83122080077399,144.97203945402583,"-37.83122080077399, 144.97203945402583"
1498948,H.M.A.S. WARRNAMBOOL,H.M.A.S. WARRNAMBOOL SUNK MINESWEEPING 13.9.1947,Japanese Chestnut Oak,Quercus acutissima,2012-07-03,-37.831693778320194,144.97527233354396,"-37.831693778320194, 144.97527233354396"
1499117,3RD DIVISION ARTILLERY.,3RD DIVISION ARTILLERY.,English Elm,Ulmus procera,1998-07-09,-37.82736432265406,144.97224934141337,"-37.82736432265406, 144.97224934141337"
1499071,PEACE TREE,"EUCALYPTUS MACULATA ""PEACE TREE"" PLANTED BY THE RT. HON. THE LORD MAYOR CR. F. R. CONNELLY JUNE 10th 1946 H.S. WOOTTON TOWN CLERK",,,,-37.827281644329084,144.97364974976497,"-37.827281644329084, 144.97364974976497"
1498999,NO.4 SQUADRON AUSTRALIAN FLYING CORPS,NO.4 SQUADRON AUSTRALIAN FLYING CORPS 1916 - 1919 WESTERN FRONT & GERMANY RAAF 1940 - 1948 PAPUA-NEW GUINEA HALMAHERAS BORNEO,London Plane,Platanus acerifolia,1998-07-09,-37.832166711860516,144.97354893179607,"-37.832166711860516, 144.97354893179607"
1499113,13TH LIGHT HORSE REGIMENTS.,13TH LIGHT HORSE REGIMENTS.,Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82730813685313,144.9720742083139,"-37.82730813685313, 144.9720742083139"
1498926,AUSTRALIANS AND GREEKS,THIS OLIVE TREE IS DEDICATED TO THE AUSTRALIANS AND GREEKS WHO SACRIFICED THEIR LIVES IN THE SECOND WORLD WAR FOR FREEDOM AND DEMOCRACY IN THE BATTLE OF CRETE LEST WE FORGET GREEK R.S.L SUB BRANCH VIC. 1991,tba,Olea europaea,1998-04-09,-37.83059672278496,144.97461424222743,"-37.83059672278496, 144.97461424222743"
1499106,46TH BATTALION,46TH BATTALION,Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82851588843667,144.97262342768624,"-37.82851588843667, 144.97262342768624"
1498955,'N' CLASS DESTROYERS OF THE 7TH DESTROYERS FLOTILLA,H.M.A. SHIPS NAPIER NIZAM NESTOR NORMAN NEPAL THIS MEMORIAL THREE DEDICATED TO THE MEMORY OF THE 'N' CLASS DESTROYERS OF THE 7TH DESTROYERS FLOTILLA AND THE MEN WHO SERVED IN THEM 1939 - 1945 H.M.A.S. NESTOR SUNK 16 JUNE 1942,Cork Oak,Quercus suber,2010-09-10,-37.83199254948672,144.974755478909,"-37.83199254948672, 144.974755478909"
1499037,2/14TH AUSTRALIAN FIELD REGIMENT,2/14TH AUSTRALIAN FIELD REGIMENT,Argyle Apple,Eucalyptus cinerea,1998-07-09,-37.83152728947547,144.97242135116656,"-37.83152728947547, 144.97242135116656"
1498966,AUSTRALIAN SUBMARINE AE2,THIS GALLIPOLI HOLLY OAK (QUERCUS CALLIPRINOS) COMMEMORATES THE AUSTRALIAN SUBMARINE AE2 WHICH FORCED THE DARDANELLES AT GALLIPOLI ON ANZAC WAS SUNK IN THE SEA OF MARMORA ON 30 APRIL 1915,Oak,Quercus coccifera,1998-04-09,-37.831271763213856,144.9742877550359,"-37.831271763213856, 144.9742877550359"
1499130,57TH BATTALION,57TH BATTALION,Spotted Gum,Corymbia maculata,2012-09-06,-37.82830993024372,144.97322827839452,"-37.82830993024372, 144.97322827839452"
1499010,HEADQUATERS 3RD DIVISION,HEADQUATERS 3RD DIVISION IN MEMORY OF THOSE WHO SERVED IN UNITS UNDER THE COMMAND OF HQ 3 DIV IN WW1 & WW2 FRANCE BELGIUM 1914 - 1918 NEW GUINEA BOUGAINVILLE 1939 - 1945 LEST WE FORGET,Chinese Elm,Ulmus parvifolia,2011-10-06,-37.832421781569224,144.97331027544303,"-37.832421781569224, 144.97331027544303"
1499160,2/6 AUSTRALIAN INFANTRY BATTALION,2/6 AUSTRALIAN INFANTRY BATTALION,Spotted Gum,Corymbia maculata,2000-01-02,-37.8281794371218,144.97191458201368,"-37.8281794371218, 144.97191458201368"
1499101,23RD BATTALION,23RD BATTALION,Spotted Gum,Corymbia maculata,2000-01-01,-37.82842086207845,144.97306583876082,"-37.82842086207845, 144.97306583876082"
1499057,INDIA R.A.A.F.,INDIA R.A.A.F.,Moreton Bay Fig,Ficus macrophylla,2014-10-28,-37.83013109907542,144.97431122735125,"-37.83013109907542, 144.97431122735125"
1499014,78 SQUADRON RAAF,"ROYAL AUSTRALIAN AIR FORCE UNITED STATES DISTINGUISHED UNIT CITATION 78 SQUADRON RAAF SOUTH-WEST PACIFIC AREA KIRIWINA ISLAND NADZAB CAPE GLOUCESTER TADJI, AITAPE HOLLADIA NOEMFOOR MOROTAI MOROTAI TARAKAN FOR ALL WHO SERVED",Chinese Liquidambar,Liquidambar formosana,2014-10-02,-37.832516217526646,144.97383865113932,"-37.832516217526646, 144.97383865113932"
1734472,MERCHANT NAVY,DEDICATED TO THE SEAFARERS OF THE MERCHANT NAVY Lest We Forget,Algerian Oak,Quercus canariensis,1998-03-09,-37.832117118242046,144.9746836717465,"-37.832117118242046, 144.9746836717465"
1498968,H.M.A.S VAMPIRE,"THIS GOLDEN CYPRESS TREE IS DEDICATED TO H.M.A.S VAMPIRE DESTROYED SUNK BY ENEMY ACTION OFF TRINCOMALEE, CEYLON, 9.4.42. 10 KILLED LEST WE FORGET",UNKNOWN,UNKNOWN UNKNOWN,2000-01-02,-37.83135612849709,144.97433578166624,"-37.83135612849709, 144.97433578166624"
1499013,HMAS MILDURA,"HMAS MILDURA 1941 - 1965 IN MEMORY OF HMAS MILDURA AND ALL WHO SAILED IN HER AN AUSTRALIAN BUILT ""BATHURST"" CLASS CORVETTE WHICH SAILED 208,132 MILES IN THE PACIFIC, INDIAN AND SOUTHERN OCEANS DURING AND AFTER WORLD WAR II",Grey Poplar,Populus x canescens,1998-08-09,-37.832660644979015,144.97371119131355,"-37.832660644979015, 144.97371119131355"
1498981,THE ROYAL AUSTRALIAN NAVAL NURSING SERVICE (R.A.N.N.S.),THE ROYAL AUSTRALIAN NAVAL NURSING SERVICE (R.A.N.N.S.),Lilly Pilly,Syzygium smithii,2000-01-02,-37.83103751930554,144.9746999015222,"-37.83103751930554, 144.9746999015222"
1498963,H.M.A. MOTOR LAUNCHES 430 AND 827,H.M.A. MOTOR LAUNCHES 430 AND 827,Pin Oak,Quercus palustris,1998-04-09,-37.831340335754305,144.9741773712386,"-37.831340335754305, 144.9741773712386"
1499026,7TH AUSTRALIAN DIVISION ARMY SERVICE CORPS,1940 - 1945 DEDICATED TO THE MEMORY OF THOSE MEN WHO SERVED IN THE 7TH AUSTRALIAN DIVISION ARMY SERVICE CORPS LEST WE FORGET,Spotted Gum,Corymbia maculata,1998-07-09,-37.83001565222123,144.97182453583466,"-37.83001565222123, 144.97182453583466"
1499075,3RD LIGHT HORSE FIELD AMBULANCE,3RD LIGHT HORSE FIELD AMBULANCE,UNKNOWN,UNKNOWN UNKNOWN,2000-01-02,-37.82930957162753,144.97361381216012,"-37.82930957162753, 144.97361381216012"
1499105,Imperial Russian Forces,In blessed memory of the Imperial Russian Forces who served in WWI and the One Thousand Russian citizens who fought in the 1st A.I.F 1914-1918,English Elm,Ulmus procera,1998-07-09,-37.828665254692076,144.97293462651294,"-37.828665254692076, 144.97293462651294"
1499146,3RD CAVALRY REGIMENT,"DEDICATED TO THE MEN OF 3RD CAVALRY REGIMENT SOUTH VIETNAM 1965-1972 BATTLE HONOURS  LONG TAN  BEIN HOA  BAT DICH  BENH BA  CORAL  BALMORAL ""RESOLUTE""",Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82736809887927,144.97188260236823,"-37.82736809887927, 144.97188260236823"
1499141,2nd/3rd AUSTRALIAN PIONEER BATTALTION,THIS BHUTAN CYPRESS IS DEDICATED TO THE GALLANT MEN OF THE 2/3 PIONEER BATTALION WHO SACRIFICED THEIR LIVES FOR THEIR COUNTRY 2nd/3rd AUSTRALIAN PIONEER BATTALTION  NINTH DIVISION 1940-1945  EL ALAMEIN - NEW GUINEA - TARAKAN  LEST WE FORGET,Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.8285669377496,144.97243229020964,"-37.8285669377496, 144.97243229020964"
1498898,6TH DIVISION CAVALRY REGIMENT,6TH DIVISION CAVALRY REGIMENT 1939 - 1943 LIBYA SYRIA NORTHERN AUSTRALIA 2/TH CAVALRY COMMANDO REGIMENT 1943 - 1945 2/7 2/9 2/10 COMMANDO SQUADRONS NEW GUINEA IN MEMORY OF COMRADES WHO DIED ON ACTIVE SERVICE 'THROUGH MUD AND BLOOD TO THE GREEN FIELDS BEYOND',Spotted Gum,Corymbia maculata,1998-07-09,-37.82984433810733,144.97234244329104,"-37.82984433810733, 144.97234244329104"
1499164,AUSTRALIAN WOMEN'S ARMY SERVICE,AUSTRALIAN WOMEN'S ARMY SERVICE 1941-1947,Spotted Gum,Corymbia maculata,2000-01-02,-37.82849170342644,144.97192557389698,"-37.82849170342644, 144.97192557389698"
1499087,UNITED KINGDOM,ROBUR OAK REPRESENTING UNITED KINGDOM 14.6.1954 THIS OAK CAME FROM WINDSOR GREAT PARK.,English Oak,Quercus robur,1998-07-09,-37.82901454029214,144.97329523335668,"-37.82901454029214, 144.97329523335668"
1498919,RAAF 49,RAAF 49,Bhutan Cypress,Cupressus torulosa,2015-04-15,-37.83078252475611,144.97428307083808,"-37.83078252475611, 144.97428307083808"
1499070,MAYORESS (MRS W.J.BRENS),PLANTED BY THE LORD MAYOR OF MELBOURNE IN HONOUR OF THE LATE LADY MAYORESS (MRS W.J.BRENS) 26th AUGUST 1953,,,,-37.82778811617614,144.9738493781532,"-37.82778811617614, 144.9738493781532"
1499167,2/21 AUSTRALIAN INFANTRY BATTALION,"2/21 AUSTRALIAN INFANTRY BATTALION A.I.F.  THIS RECORDS SERVICE IN DARWIN 1941 AND IN GULL FORCE ON AMBON DECEMBER 1941 TO JANUARY 1942, AND COMMEMORATES THOSE KILLED IN ACTION ON AMBON 1942 AND THOSE WHO DIED AS PRISONERS OF WAR IN AMBON AND HAINAN",Spotted Gum,Corymbia maculata,1998-07-09,-37.828639346974704,144.97210002350786,"-37.828639346974704, 144.97210002350786"
1498952,H.M.A.S. CANBERRA,H.M.A.S. CANBERRA SUNK 9 AUGUST 1942,Chestnut Oak,Quercus michauxii,1998-04-09,-37.831739379034055,144.9747275202476,"-37.831739379034055, 144.9747275202476"
1499015,2/4 AUST. FIELD REGIMENT ROYAL AUST. ARTILLERY 7 AUSTRALIAN DIVISION,2/4 AUST. FIELD REGIMENT ROYAL AUST. ARTILLERY 7 AUSTRALIAN DIVISION 1940 - 1945 PALESTINE EGYPT SYRIA NEW GUINEA BORNEO IN MEMORY OF OUR FALLEN AND DEPARTED COMRADES LEST WE FORGET,London Plane,Platanus acerifolia,1998-08-09,-37.83238330821724,144.97389182693794,"-37.83238330821724, 144.97389182693794"
1499109,21ST BATTALION,21ST BATTALION,,,,-37.8281083856233,144.97242507338888,"-37.8281083856233, 144.97242507338888"
1498969,ROYAL AUSTRALIAN NAVY,ROYAL AUSTRALIAN NAVY 1914 - 1918,tba,Cupressus sempervirens Stricta,2000-01-02,-37.83114377811199,144.97450668080737,"-37.83114377811199, 144.97450668080737"
1499092,2/2 FIELD COMPANY R.A.E. 6TH DIVISION ENGINEERS,2/2 FIELD COMPANY R.A.E. 6TH DIVISION ENGINEERS,Flame Tree,Brachychiton acerifolius,2010-08-30,-37.82901228282192,144.97373999429766,"-37.82901228282192, 144.97373999429766"
1499055,2/3RD AUSTRALIAN LIGHT ANTI-AIRCRAFT REGIMENT,"2/3RD AUSTRALIAN LIGHT ANTI-AIRCRAFT REGIMENT UNSING 40mm BOFORS GUNS, ITS MEMBERS HAD ACTIVE SERVICE IN THE WESTERN DESERT, TOBRUK, CRETE, SYRIA, AUSTRALIA, NEW GUINEA, THE ISLANDS AND BORNEO.",Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.830548467575355,144.9717955153379,"-37.830548467575355, 144.9717955153379"
1498911,9TH AUSTRALIAN DIVISION CAVALRY REGIMENT 2/9TH AUSTRALIAN CAVALRY COMMANDO REGIMENT,9TH AUSTRALIAN DIVISION CAVALRY REGIMENT (TANKS AND MACHINE GUN CARRIERS) 1940 - 1943 EGYPT PALESTINE SYRIA 2/9TH AUSTRALIAN CAVALRY COMMANDO REGIMENT ( 2/4TH 2/11TH & 2/12TH AUSTRALIAN COMMANDO SQUADRONS) 1943 - 1945 BORNEO LEST WE FORGET,Desert Ash,Fraxinus angustifolia,1998-07-09,-37.82909527107172,144.97188666465084,"-37.82909527107172, 144.97188666465084"
1498994,10 SQUADRON RAAF STRIKE FIRST,"10 SQUADRON RAAF STRIKE FIRST FORMED 1 JULY 1939 THE FIRST RAAF SQUADRON IN ACTION IN WORLD WAR II ATLANTIC BAY OF BISCAY MEDITERRANEAN BISCAY PORTS BISMARK ENGLISH CHANNEL & NORTH SEA NORMANDY ""LEST WE FORGET""",Dawn Redwood,Metasequoia glyptostroboides,1998-07-09,-37.83181247496687,144.97331945057172,"-37.83181247496687, 144.97331945057172"
1498964,ROYAL NEW ZEALAND NAVY,1939 1945 ROYAL NEW ZEALAND NAVY BATTLE OF THE RIVER PLATE 1939,Pohutukawa,Metrosideros excelsa,1998-04-09,-37.831227642688,144.97421658524627,"-37.831227642688, 144.97421658524627"
1499049,THE CORPS OF THE ROYAL AUSTRALIAN ELECTRICAL AND MECHANICAL ENGINEERS,THIS TREE IS DEDICATED IN REMEMBRANCE of the MEN and WOMEN of THE CORPS OF THE ROYAL AUSTRALIAN ELECTRICAL AND MECHANICAL ENGINEERS LEST WE FORGET Arte et Marte,Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.8307037938507,144.97204974755397,"-37.8307037938507, 144.97204974755397"
1499061,R.A.A.F. - UNITED KINGDOM,R.A.A.F. - UNITED KINGDOM,Spotted Gum,Corymbia maculata,1998-02-09,-37.82992782441288,144.97399876742824,"-37.82992782441288, 144.97399876742824"
1499008,R.A.A.F. W.A.A.A.F. TRAINING SQUADRONS AND SUPPORT UNITS,R.A.A.F. W.A.A.A.F. IN MEMORY OF TRANING SQUADRONS & SUPPORT UNITS WHICH SERVED OVERSEAS OR ON AUSTRALIAN MAINLAND STATION DURING 1939 - 1945,English Oak,Quercus robur,2011-10-06,-37.83248119982511,144.9734481783028,"-37.83248119982511, 144.9734481783028"
1498977,H.M.A.S. HOBART,H.M.A.S. HOBART,Mahogany Gum,Eucalyptus botryoides,1998-04-09,-37.83135971351849,144.9748060753539,"-37.83135971351849, 144.9748060753539"
1498950,H.M.A.S. SYDNEY,H.M.A.S. SYDNEY 1914 - 1918 IN MEMORY OF OUR SHIPMATES,Algerian Oak,Quercus canariensis,1998-03-09,-37.83160994325141,144.9750140912037,"-37.83160994325141, 144.9750140912037"
1498949,H.M.A.S. AUSTRALIA,H.M.A.S. AUSTRALIA,Flowering Gum,Corymbia ficifolia,2000-01-02,-37.831478132819775,144.97480635943555,"-37.831478132819775, 144.97480635943555"
1498945,H.M.A.S BALLARAT,H.M.A.S BALLARAT,Bogong Gum,Eucalyptus chapmaniana,1998-03-09,-37.83143042424667,144.97531771009426,"-37.83143042424667, 144.97531771009426"
1499025,AUSTRALIAN ARMY WATER TRANSPORT,"AUSTRALIAN ARMY WATER TRANSPORT SMALL SHIPS AND LANDING CRAFT R. A. E. A. I. E. IN MEMORY OF ALL WHO SERVED WITH HONOUR SECOND WORLD WAR 1939 - 1945 1ST, 2ND, 3RD AUSTRALIAN WATER TRANSPORT GROUPS TOBRUK NEW GUINEA DARWIN BOUGAINVILLE NEW BRITAIN MOR BORNEO LEST WE FORGET",Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83057641458183,144.97262803872255,"-37.83057641458183, 144.97262803872255"
1498935,H.M.A.S. GEELONG,H.M.A.S. GEELONG SUNK AFTER COLLISION 18. 10. 1944,Algerian Oak,Quercus canariensis,1998-03-09,-37.83196110933539,144.9752276432538,"-37.83196110933539, 144.9752276432538"
1499089,8TH BATTALION,8TH BATTALION,English Elm,Ulmus procera,1998-07-09,-37.82891758654078,144.97314416193322,"-37.82891758654078, 144.97314416193322"
1499153,2/1 AUSTRALIAN MACHINE GUN BATTALION,2/1 AUSTRALIAN MACHINE GUN BATTALION,English Elm,Ulmus procera,1998-07-09,-37.82842561268578,144.97220608515528,"-37.82842561268578, 144.97220608515528"
1499112,"IMPERIAL CAMEL CORPS, 5TH LIGHT HORSE BRIGADE.","IMPERIAL CAMEL CORPS, 5TH LIGHT HORSE BRIGADE.",Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.827167013867054,144.97201672000386,"-37.827167013867054, 144.97201672000386"
1498991,AIR TRAINING CORPS,AIR TRAINING CORPS FORMED 1941.,London Plane,Platanus acerifolia,1998-07-09,-37.83140749181213,144.97302659620308,"-37.83140749181213, 144.97302659620308"
1499181,THE VETERANS' FEDERATION OF THE REPUBLIC OF VIETNAM IN AUSTRALIA,THE REMEMBRANCE GARDEN PALMS PRSENTED BY THE VETERANS' FEDERATION OF THE REPUBLIC OF VIETNAM IN AUSTRALIA IN MEMORY OF THOSE WHO SERVED FOR THE CAUSE OF FREEDOM IN VIETNAM,,,,-37.83092666297623,144.972552551185,"-37.83092666297623, 144.972552551185"
1499183,WOMEN WHO SERVED,"THIS GARDEN OF FLOWERS IS DEDICATED TO THE 70,000 WOMEN WHO SERVED AUSTRALIA IN THE NAVY, ARMY, AIR FORCE & AUXILIARY SERVICES. THE FIRST SERVICE WOMEN TENDED IN WORLD WAR I, WORLD WAR II, & IN MALAYA, KOREA & VIETNAM.",,,,-37.82868707541504,144.97319182644748,"-37.82868707541504, 144.97319182644748"
1734447,ROYAL AUSTRALIAN ARMY SERVICE CORPS,1887 - 1973 ROYAL AUSTRALIAN ARMY SERVICE CORPS. FORMED INTO R AUST CORPS OF TPT 1 JUNE 1973,Liquidamber or Sweet Gum,Liquidambar styraciflua,2000-01-02,-37.831342688697845,144.972214956105,"-37.831342688697845, 144.972214956105"
1499093,2ND FIELD COMPANY ENGINEERS,2ND FIELD COMPANY ENGINEERS,Flame Tree,Brachychiton acerifolius,2010-08-30,-37.82901228282192,144.97373999429766,"-37.82901228282192, 144.97373999429766"
1499171,2/9TH AUSTRALIAN FIELD AMBULANCE UNIT,2/9TH AUSTRALIAN FIELD AMBULANCE UNIT,Sydney Blue Gum,Eucalyptus saligna,2010-10-20,-37.828801298969346,144.97214773973676,"-37.828801298969346, 144.97214773973676"
1499140,3RD DIVISION SIGNALS A.I.F.,THIS BHUTAN CYPRESS TREE IS DEDICATED TO THE MEMBERS OF 3RD DIVISION SIGNALS A.I.F. WHO UNDER THE INSPIRED LEADERSHIP SERVED WITH DISTINCTION IN NEW GUINEA AND THE SOLOMON ISLANDS FROM 1943 - 1945 UNVEILED 14TH MAY 1991,Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82877414747356,144.97252296533725,"-37.82877414747356, 144.97252296533725"
1499023,KOREA AND SOUTH EAST ASIA FORCES ASSOCIATION OF AUSTRALIA (VIC. BRANCH),KOREA AND SOUTH EAST ASIA FORCES ASSOCIATION OF AUSTRALIA (VIC. BRANCH) JAPAN KOREA MALAYA BORNEO VIETNAM,Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.830310550572754,144.9726217956095,"-37.830310550572754, 144.9726217956095"
1499159,2/2 ARMY FIELD WORKSHOPS,2/2 ARMY FIELD WORKSHOPS 1940-1945,Queensland Kauri,Agathis robusta,1998-07-09,-37.82801653068633,144.9719108621663,"-37.82801653068633, 144.9719108621663"
1499050,Commando Squadrons,Symbol Only,Tasmainian Blue Gum,Eucalyptus globulus,1998-07-09,-37.83058378299159,144.97225005063945,"-37.83058378299159, 144.97225005063945"
1499020,2/3RD AUSTRALIAN MACHINE GUN BATTALION,"2/3RD AUSTRALIAN MACHINE GUN BATTALION 1940 - 1945 SERVED IN LEBANON, SYRIA & JAVA REINFORCED TO SERVE IN NEW GUINEA MERAUKE, AITAPE & WEWAK 710 WORKED AS P.O.W.s - BURMA RAILWAY & JAPAN THEIR SERVICE - OUR HERITAGE",Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83092492480735,144.97278654336202,"-37.83092492480735, 144.97278654336202"
1499033,U.S.S. HOUSTON,U.S.S. HOUSTON,Prickly Paperbark,Melaleuca styphelioides,1998-07-09,-37.830982607450245,144.9720334779853,"-37.830982607450245, 144.9720334779853"
1499180,THE NEW GUINEA WOMEN'S ASSOCIATION MELBOURNE,THIS SEAT WAS PRESENTED BY THE NEW GUINEA WOMEN'S ASSOCIATION MELBOURNE IN MEMORY OF THE MEN AND WOMAN RESIDENTS OF NEW GUINEA WHO LOST THEIR LIVES AS A RESULT OF THE PACIFIC WAR 1914 - 1945,,,,-37.83018230090757,144.97273097223118,"-37.83018230090757, 144.97273097223118"
1499098,INFANTRY 60TH BATTALION,INFANTRY 60TH BATTALION 1916-1918 · FROMELLERS · SOMME · BULLECOURT · YPRES · POLYGON WOOD · AVRE · VILLERS BRETONNEUX · AMIENS · MONT ST QUENTIN · HINDENBURG LINE · EUCALYPTUS MACULATA  DEDICATED 26 APRIL 1992  LEST WE FORGET,Spotted Gum,Corymbia maculata,1998-07-09,-37.82884194541483,144.973409255909,"-37.82884194541483, 144.973409255909"
1498985,"WORLD WAR II ""BATHURST CLASS CORVETTE""","HMAS LISMORE THIS TREE IS DEDICATED TO THIS WORLD WAR II ""BATHURST CLASS CORVETTE"", COMMISSIONED ON 24TH JANUARY 1941 AND THOSE WHO SERVED IN HER ON ATLANTIC, MEDITERRANEAN, INDIAN AND PACIFIC STATIONS UNTIL DECOMMISSIONED ON 3RD JUNE 1946.",Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.830981520446784,144.97410594725181,"-37.830981520446784, 144.97410594725181"
1499107,2ND MACHINE GUN BATTALION,2ND MACHINE GUN BATTALION. 5TH 6TH 7TH & 22ND COMPANIES.,Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.828718457145655,144.97271672989964,"-37.828718457145655, 144.97271672989964"
1499142,26 AUST. INF. BN. (AIF),"THIS BHUTAN CYPRESS IS DEDICATED TO THE GALLANT MEN OF 26 AUST. INF. BN. (AIF) WHO UNDER INSPIRED LEADERSHIP SERVED WITH DISTINCTION IN DUTCH NEW GUINEA, TORREST STRAIGHT, BOUGAINVILLE AND RABAUL 1939-46 AND TO MEMBERS WHO MADE THE SUPREME SACRIFICE LEST WE FORGET",Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82836356609248,144.972334239037,"-37.82836356609248, 144.972334239037"
1498929,No. 5 AIR FIELD CONSTRUCTION SQUADRON,"No. 5 AIR FIELD CONSTRUCTION SQUADRON 1942 - 1974 ""THE FLYING SHOVELS"" LEST WE FORGET",English Oak,Quercus robur,1998-04-09,-37.830700085530246,144.97457221661702,"-37.830700085530246, 144.97457221661702"
1734466,FIGHTER SQUADRONS,FIGHTER SQUADRONS BRANCH R.A.A.F. ASSOCIATION,River Sheoak,Casuarina cunninghamiana,2011-10-06,-37.83257499684884,144.97324836199937,"-37.83257499684884, 144.97324836199937"
1734471,No. 3 Airfield Construction Squadron,No. 3 Airfield Construction Squadron DARWIN 1941-42 PHILIPPINES AITAPE LEYTE MOROTAI MINDORO BALIKPAPAN BORNEO Lest We Forget,Red Cedar,Juniperus virginiana,2011-10-06,-37.832349033462144,144.97319375781473,"-37.832349033462144, 144.97319375781473"
1498978,ROYAL CANADIAN NAVY,IN HONOUR OF THE ROYAL CANADIAN NAVY WAR LOSSES,Algerian Oak,Quercus canariensis,1998-04-09,-37.83151983814528,144.97464285395762,"-37.83151983814528, 144.97464285395762"
1499044,AUSTRALIAN SHIPS OF THE FAR EAST STRATEGIC RESERVE,HER MAJESTY'S AUSTRALIAN SHIPS OF THE FAR EAST STRATEGIC RESERVE 1955 - 1971,Stone Pine,Pinus pinea,2010-08-30,-37.83141323463639,144.9723395986132,"-37.83141323463639, 144.9723395986132"
